SalesOrderNumber;SalesOrderLineNumber;ProductId;CustomerUsername;OrderDate;DueDate;ShipDate;SalesTerritoryRegion;SalesTerritoryCountry;SalesTerritoryContinent;OrderQuantity;SalesAmount;TaxAmt;Freight;Currency;AverageRate
SO46708;1;BK-R89B-52;alison7;2012-01-01;2012-01-13;2012-01-08;Australia;Australia;Pacific;1;4193.84;335.51;54,5391;AUD;0,520183104452767
SO46718;1;BK-M68B-42;casey31;2012-01-02;2012-01-14;2012-01-09;Australia;Australia;Pacific;1;3950.05;316.00;51,2275;AUD;0,518752917985164
SO46728;1;BK-M68B-38;lance22;2012-01-03;2012-01-15;2012-01-10;Australia;Australia;Pacific;1;3951.07;316.09;51,2275;AUD;0,518618400580853
SO46726;1;BK-R89B-44;carolyn14;2012-01-03;2012-01-15;2012-01-10;Australia;Australia;Pacific;1;4206.49;336.52;54,5391;AUD;0,518618400580853
SO46727;1;BK-R89R-52;carolyn19;2012-01-03;2012-01-15;2012-01-10;Australia;Australia;Pacific;1;4711.27;376.90;61,0838;AUD;0,518618400580853
SO46725;1;BK-R89R-48;willie9;2012-01-03;2012-01-15;2012-01-10;Australia;Australia;Pacific;1;4711.27;376.90;61,0838;AUD;0,518618400580853
SO46729;1;BK-R50R-58;luis54;2012-01-03;2012-01-15;2012-01-10;Australia;Australia;Pacific;1;1509.76;120.78;19,5748;AUD;0,518618400580853
SO46736;1;BK-M68B-42;katie10;2012-01-04;2012-01-16;2012-01-11;Australia;Australia;Pacific;1;3933.86;314.71;51,2275;AUD;0,520887592457548
SO46737;1;BK-M68S-42;wesley15;2012-01-04;2012-01-16;2012-01-11;Australia;Australia;Pacific;1;3976.71;318.14;51,7855;AUD;0,520887592457548
SO46738;1;BK-M68B-46;walter6;2012-01-04;2012-01-16;2012-01-11;Australia;Australia;Pacific;1;3933.86;314.71;51,2275;AUD;0,520887592457548
SO46743;1;BK-R89B-44;hector4;2012-01-05;2012-01-17;2012-01-12;Australia;Australia;Pacific;1;4245.10;339.61;54,5391;AUD;0,513901022663035
SO46744;1;BK-R89R-52;ruth16;2012-01-05;2012-01-17;2012-01-12;Australia;Australia;Pacific;1;4754.51;380.36;61,0838;AUD;0,513901022663035
SO46749;1;BK-M68S-42;logan44;2012-01-06;2012-01-18;2012-01-13;Australia;Australia;Pacific;1;4056.05;324.48;51,7855;AUD;0,510699147132424
SO46753;1;BK-R89B-58;tiffany5;2012-01-07;2012-01-19;2012-01-14;Australia;Australia;Pacific;1;4159.37;332.75;54,5391;AUD;0,524493863421798
SO46754;1;BK-R50R-58;alfredo23;2012-01-07;2012-01-19;2012-01-14;Australia;Australia;Pacific;1;1492.85;119.43;19,5748;AUD;0,524493863421798
SO46755;1;BK-R50B-52;crystal8;2012-01-07;2012-01-19;2012-01-14;Australia;Australia;Pacific;1;1492.85;119.43;19,5748;AUD;0,524493863421798
SO46767;1;BK-M68B-46;grant19;2012-01-08;2012-01-20;2012-01-15;Australia;Australia;Pacific;1;3927.71;314.22;51,2275;AUD;0,521702838063439
SO46766;1;BK-R89R-48;larry18;2012-01-08;2012-01-20;2012-01-15;Australia;Australia;Pacific;1;4683.41;374.67;61,0838;AUD;0,521702838063439
SO46768;1;BK-R50B-44;barry17;2012-01-08;2012-01-20;2012-01-15;Australia;Australia;Pacific;1;1500.84;120.07;19,5748;AUD;0,521702838063439
SO46776;1;BK-M68B-42;julia68;2012-01-09;2012-01-21;2012-01-16;Australia;Australia;Pacific;1;3920.13;313.61;51,2275;AUD;0,52271182896869
SO46788;1;BK-M68B-38;morgan22;2012-01-10;2012-01-22;2012-01-17;Australia;Australia;Pacific;1;3929.15;314.33;51,2275;AUD;0,521512385919166
SO46797;1;BK-R89R-58;sheena10;2012-01-11;2012-01-23;2012-01-18;Australia;Australia;Pacific;1;4162.20;332.98;54,5391;AUD;0,524136485140731
