SalesOrderNumber;SalesOrderLineNumber;ProductId;CustomerUsername;OrderDate;DueDate;ShipDate;SalesTerritoryRegion;SalesTerritoryCountry;SalesTerritoryContinent;OrderQuantity;SalesAmount;TaxAmt;Freight;Currency;AverageRate
SO74253;1;TI-M267;daniel18;2014-01-01;2014-01-13;2014-01-08;Australia;Australia;Pacific;1;24.99;2.00;0,6248;USD;1
SO74253;2;TT-M928;daniel18;2014-01-01;2014-01-13;2014-01-08;Australia;Australia;Pacific;1;4.99;0.40;0,1248;USD;1
SO74253;3;HL-U509-B;daniel18;2014-01-01;2014-01-13;2014-01-08;Australia;Australia;Pacific;1;34.99;2.80;0,8748;USD;1
SO74254;1;TI-M267;donald20;2014-01-01;2014-01-13;2014-01-08;Australia;Australia;Pacific;1;24.99;2.00;0,6248;USD;1
SO74272;1;TI-M823;eduardo55;2014-01-01;2014-01-13;2014-01-08;Canada;Canada;North America;1;35.00;2.80;0,875;USD;1
SO74272;2;TT-M928;eduardo55;2014-01-01;2014-01-13;2014-01-08;Canada;Canada;North America;1;4.99;0.40;0,1248;USD;1
SO74262;1;TT-T092;destiny65;2014-01-01;2014-01-13;2014-01-08;Southwest;United States;North America;1;4.99;0.40;0,1248;USD;1
SO74262;2;PK-7098;destiny65;2014-01-01;2014-01-13;2014-01-08;Southwest;United States;North America;1;2.29;0.18;0,0573;USD;1
SO74274;1;TT-T092;sandra15;2014-01-01;2014-01-13;2014-01-08;France;France;Europe;1;4.99;0.40;0,1248;USD;1
SO74274;2;HY-1023-70;sandra15;2014-01-01;2014-01-13;2014-01-08;France;France;Europe;1;54.99;4.40;1,3748;USD;1
SO74274;3;GL-H102-S;sandra15;2014-01-01;2014-01-13;2014-01-08;France;France;Europe;1;24.49;1.96;0,6123;USD;1
SO74263;1;TI-R982;aidan24;2014-01-01;2014-01-13;2014-01-08;Northwest;United States;North America;1;32.60;2.61;0,815;USD;1
SO74263;2;RA-H123;aidan24;2014-01-01;2014-01-13;2014-01-08;Northwest;United States;North America;1;120.00;9.60;3,00;USD;1
SO74273;1;TT-T092;robyn9;2014-01-01;2014-01-13;2014-01-08;France;France;Europe;1;4.99;0.40;0,1248;USD;1
SO74273;2;GL-H102-M;robyn9;2014-01-01;2014-01-13;2014-01-08;France;France;Europe;1;24.49;1.96;0,6123;USD;1
SO74259;1;SH-W890-L;jamie24;2014-01-01;2014-01-13;2014-01-08;Australia;Australia;Pacific;1;69.99;5.60;1,7498;USD;1
SO74259;2;SJ-0194-M;jamie24;2014-01-01;2014-01-13;2014-01-08;Australia;Australia;Pacific;1;53.99;4.32;1,3498;USD;1
SO74265;3;PK-7098;taylor11;2014-01-01;2014-01-13;2014-01-08;Southwest;United States;North America;1;2.29;0.18;0,0573;USD;1
SO74265;4;CL-9009;taylor11;2014-01-01;2014-01-13;2014-01-08;Southwest;United States;North America;1;7.95;0.64;0,1988;USD;1
SO74264;1;TI-M602;hannah41;2014-01-01;2014-01-13;2014-01-08;Northwest;United States;North America;1;29.99;2.40;0,7498;USD;1
SO74264;2;PK-7098;hannah41;2014-01-01;2014-01-13;2014-01-08;Northwest;United States;North America;1;2.29;0.18;0,0573;USD;1
